,date_time,injured,killed,street_name_primary,street_name_intersecting
80755,2021-08,2,0,UNIVERSITY AVENUE,
80756,2021-08,2,0,UNIVERSITY AVENUE,
80757,2021-08,2,0,UNIVERSITY AVENUE,
80763,2021-08,1,0,FAIRMOUNT AVENUE,
80764,2021-08,0,0,LONGFORD STREET,
80765,2021-08,0,0,LONGFORD STREET,
80766,2021-08,0,0,LONGFORD STREET,
80767,2021-08,0,0,IRIS AVENUE,
80768,2021-08,0,0,IRIS AVENUE,
80769,2021-08,0,0,IRIS AVENUE,
80770,2021-08,0,0,IRIS AVENUE,
80772,2021-08,2,0,BALBOA AVENUE,
80773,2021-08,2,0,BALBOA AVENUE,
80775,2021-08,0,0,MIRA MESA BOULEVARD,
80776,2021-08,0,0,MIRA MESA BOULEVARD,
80777,2021-08,0,0,EL CAJON BOULEVARD,
80778,2021-08,0,0,EL CAJON BOULEVARD,
80779,2021-08,0,0,CONVOY STREET,
80780,2021-08,0,0,CONVOY STREET,
80781,2021-08,1,0,PALM AVENUE,
80782,2021-08,1,0,PALM AVENUE,
80783,2021-08,1,0,GARNET AVENUE,INGRAHAM STREET
80785,2021-08,0,0,MISSION VILLAGE DRIVE,SAN DIEGO MISSION ROAD
80786,2021-08,0,0,MISSION VILLAGE DRIVE,SAN DIEGO MISSION ROAD
80787,2021-08,0,0,BALBOA AVENUE,
80788,2021-08,0,0,BALBOA AVENUE,
80790,2021-08,1,0,KEARNY MESA ROAD,
80794,2021-08,0,0,CLAIREMONT MESA BOULEVARD,
80795,2021-08,0,0,CLAIREMONT MESA BOULEVARD,
80797,2021-08,0,0,SEA WORLD WAY,
80798,2021-08,0,0,SEA WORLD WAY,
80799,2021-08,0,0,SEA WORLD WAY,
80800,2021-08,0,0,SEA WORLD WAY,
80801,2021-08,0,0,SEA WORLD WAY,
80802,2021-08,0,0,SEA WORLD WAY,
80803,2021-08,0,0,SEA WORLD WAY,
80804,2021-08,0,0,SEA WORLD WAY,
80805,2021-08,3,0,NOBEL DRIVE,
80806,2021-08,3,0,NOBEL DRIVE,
80807,2021-08,3,0,NOBEL DRIVE,
80808,2021-08,1,0,EL CAJON BOULEVARD,
80809,2021-08,1,0,EL CAJON BOULEVARD,
80812,2021-08,0,0,SAN YSIDRO BOULEVARD,
80813,2021-08,0,0,SAN YSIDRO BOULEVARD,
80814,2021-08,1,0,BALBOA AVENUE,CONVOY STREET
80815,2021-08,1,0,BALBOA AVENUE,CONVOY STREET
80816,2021-08,0,0,F STREET,
80819,2021-08,0,0,MURPHY CANYON ROAD,
80820,2021-08,0,0,MURPHY CANYON ROAD,
80821,2021-08,1,0,OCEAN VIEW BOULEVARD,
80822,2021-08,1,0,OCEAN VIEW BOULEVARD,
80823,2021-08,0,0,SPORTS ARENA BOULEVARD,
80826,2021-08,1,0,DEL SOL BOULEVARD,
80827,2021-08,1,0,DEL SOL BOULEVARD,
80828,2021-08,1,0,HILLERY DRIVE,
80829,2021-08,1,0,HILLERY DRIVE,
80830,2021-08,1,0,HILLERY DRIVE,
80833,2021-08,0,0,MARKET STREET,
80834,2021-08,0,0,MARKET STREET,
80836,2021-08,1,0,EUCLID AVENUE,
80837,2021-08,1,0,EUCLID AVENUE,
80844,2021-08,0,0,MAIN STREET,
80845,2021-08,0,0,MAIN STREET,
80846,2021-08,0,0,COLLEGE AVENUE,
80847,2021-08,1,0,ADOBE FALLS ROAD,
80848,2021-08,1,0,ADOBE FALLS ROAD,
80849,2021-08,1,0,ADOBE FALLS ROAD,
